nsig,xpix,ypix
23.801908493041992,3172,28
17.014156341552734,3176,28
11.113990783691406,3550,28
15.116464614868164,3142,29
173.7507781982422,3596,29
418.681640625,439,30
841.6405639648438,1144,31
12.578368186950684,1382,31
52.82300567626953,3115,31
11.320151329040527,3133,31
94.34523010253906,66,32
135.4676513671875,2935,32
17.509441375732422,3120,32
11.902129173278809,3137,32
11.970669746398926,3170,32
11.352777481079102,3184,32
241.10183715820312,3431,32
884.8939208984375,1466,33
320.50738525390625,1950,33
1056.6165771484375,2182,34
36.230411529541016,3078,34
11.695788383483887,3087,34
430.3903503417969,3447,34
307.5467529296875,3508,34
459.1918640136719,3456,35
43.29322814941406,1781,36
15.426305770874023,3173,36
22.509502410888672,663,37
14.14677906036377,3075,37
17.713048934936523,3108,37
14.88818073272705,3141,37
385.2754211425781,3878,37
305.718994140625,1317,39
648.5653686523438,1871,39
17.462202072143555,2246,39
11.220498085021973,3117,39
20.672710418701172,3132,39
14.332942008972168,3152,39
12.44728946685791,2661,40
11.843934059143066,3091,40
23.43020248413086,3139,40
17.629011154174805,476,41
12.744709014892578,3177,41
17.1778564453125,3189,41
184.49285888671875,3781,41
29.456119537353516,764,42
707.2957153320312,2446,42
39.0968132019043,3193,42
511.6441955566406,3598,42
172.82461547851562,3881,42
35.057071685791016,839,43
688.3171997070312,3046,43
67.43592834472656,3072,43
26.829177856445312,3090,43
620.5363159179688,382,44
83.09231567382812,1038,44
732.1703491210938,1134,44
610.6063842773438,2679,44
10.613385200500488,3102,44
984.1989135742188,615,45
20.086084365844727,3140,45
15.249277114868164,3162,45
79.01329040527344,3499,45
11.927202224731445,3170,46
251.43460083007812,784,48
350.05218505859375,868,48
67.71971893310547,3102,48
11.550836563110352,3188,48
72.72594451904297,2737,49
28.531368255615234,3155,49
14.705310821533203,3162,49
1162.80810546875,765,50
343.11651611328125,414,51
470.2113952636719,1024,51
19.99872589111328,2217,51
22.89840316772461,3108,51
18.002559661865234,3143,51
424.21173095703125,3365,51
73.55089569091797,2152,52
10.87965202331543,3199,52
