wavelength,strength,ID
1025.6995,1292.38,UI
1025.7155,582.56,UI
1025.8839,48.18,UI
1025.9888,26.54,UI
1026.0755,65.17,UI
1026.2358,9662.76,UI
1026.3359,63.46,UI
1026.4862,69.03,UI
1026.6819,39.22,UI
1026.8627,197.94,UI
1027.4493,43.14,UI
1027.4881,157.92,UI
1027.8162,203.65,UI
1028.0715,224.44,UI
1028.1733,22.02,UI
1028.5094,64.96,UI
1028.5703,47.22,UI
1028.6284,66.1,UI
1028.8029,59.97,UI
1029.0316,51.6,UI
1029.3206,62.9,?
1029.4254,531.94,UI
1029.6306,66.42,UI
1029.6685,40.56,UI
1029.7853,577.4,UI
1029.8238,428.95,Ne
1030.314,22.81,UI
1030.3346,42.67,UI
1030.3908,85.38,?
1030.5421,31.85,UI
1030.683,59.97,UI
1030.7029,23.95,UI
1030.8105,169.23,UI
1030.9499,210.65,UI
1030.9895,38.54,UI
1031.1183,698.51,UI
1031.2651,31.72,UI
1031.4472,194.16,UI
1031.5236,30.46,UI
1031.6595,932.74,UI
1031.9538,42.94,UI
1032.0557,77.12,UI
1032.0742,59.6,UII
1032.2807,24.44,UI
1032.3729,95.62,UI
1032.8902,95.3,UI
1032.9218,69.19,UI
1033.1291,52.87,UI
1033.2009,29.77,UI
1033.3985,45.26,UI
1033.5291,229.04,UI
1033.6547,259.18,UI
1033.6691,178.62,UI
1033.7068,167.29,UI
1033.8139,38.45,UI
1033.897,109.08,UI
1033.9926,38.02,UI
1034.071,35.69,UI
1034.5078,68.24,UI
1034.6554,59.26,UI
1034.9316,37.61,?
1034.9975,103.17,UI
1035.1121,1180.09,UI
1035.1932,56.57,UI
1035.2394,31.25,UI
1035.3166,58.55,UI
1035.36,35.35,UI
1035.398,144.3,UI
1035.6222,861.25,UI
1035.7181,110.5,UI
1035.7606,28.7,?
1035.9303,57.54,UI
1036.0224,140.83,UI
1036.1276,69.65,UI
1036.5325,24.04,UI
1036.7202,42.28,UI
1037.0292,64.02,UI
1037.4865,88.24,UI
1037.5625,1136.68,UI
1037.7626,52.7,UI
1038.0097,47.35,UI
1038.1124,1004.19,UI
1038.3826,44.5,UI
1038.3972,75.66,UI
1038.5737,117.52,UI
1038.6051,65.3,UI
1038.6522,195.02,UI
1038.7342,36.54,UI
1038.9008,148.61,UI
1038.9205,32.6,UI
1039.1575,32.17,UI
1039.4025,212.5,UI
1039.551,47.19,UI
1039.5828,70.21,UI
1039.9583,32.09,UI
1040.1384,25.55,UI
1040.1952,139.34,UI
1040.2728,29.47,UI
1040.5377,34.91,UI
1041.0135,89.65,UI
1041.1345,76.63,UI
1041.2321,605.19,UI
1041.419,35.21,UI
1041.5363,76.24,UI
1041.6876,48.95,UI
1041.717,115.75,UI
1041.787,63.23,UI
1041.8274,36.32,UI
1042.0035,88.63,UI
1042.3168,28.84,UI
1042.6102,62.16,UI
1042.674,42.2,UI
1042.9345,43.87,UI
1042.9646,331.25,UI
1043.2897,362.94,UI
1043.5708,67.38,UI
1043.6635,164.83,UI
1043.7947,202.22,UI
1043.9399,252.75,UI
1044.216,56.38,UI
1044.4664,1949.82,UI
1044.8807,50.05,UI
1045.1936,164.2,UI
1045.3424,44.12,?
