nsig,xpix,ypix
28.904773712158203,3016,182
359.7542419433594,3080,182
848.9397583007812,3131,182
650.8666381835938,3105,183
24.30901336669922,2579,184
795.1235961914062,3221,184
2113.92529296875,3621,184
168.60691833496094,1527,186
95.48184967041016,1975,186
100.73104095458984,2395,186
371.5203552246094,3657,187
65.80921173095703,2758,188
615.4739379882812,1833,189
16.22461700439453,2791,189
403.7301940917969,1695,190
47.56050109863281,843,191
10.682329177856445,1127,191
157.25149536132812,2582,191
136.6920623779297,3319,191
525.9728393554688,4012,191
43.38554763793945,724,192
280.6690368652344,2293,192
13.315115928649902,322,195
20.103092193603516,2111,195
17.239044189453125,2624,196
700.7265625,222,197
56.979827880859375,2311,197
202.96920776367188,804,198
37.302032470703125,3377,200
158.344970703125,903,201
286.5307312011719,1785,201
60.947242736816406,2231,203
61.238525390625,2807,203
1948.088134765625,3407,203
662.8302612304688,5,205
211.42347717285156,1451,206
741.6577758789062,845,207
898.404541015625,3526,207
575.5855712890625,3830,207
11.336114883422852,3843,208
1028.9677734375,1400,209
585.5947265625,3163,209
113.4697265625,58,210
616.2177124023438,3251,210
395.5301513671875,2132,211
1241.8978271484375,1219,212
29.02663230895996,1444,212
599.378173828125,3598,212
243.98480224609375,1223,215
63.78340148925781,1491,215
893.8162841796875,983,216
464.0177917480469,20,217
192.75392150878906,871,217
670.60205078125,943,217
50.05679702758789,1180,217
770.1370849609375,3929,217
41.292274475097656,10,219
47.720458984375,442,219
564.8411865234375,3231,219
41.409454345703125,844,220
12.062447547912598,1294,220
959.6844482421875,1631,221
126.6511459350586,2503,222
23.335222244262695,2669,222
16.409759521484375,4036,222
13.295820236206055,16,224
30.42539405822754,141,224
12.711325645446777,3425,224
99.43245697021484,2454,225
794.8285522460938,1125,228
16.22490119934082,2474,228
1088.223388671875,561,230
67.09307861328125,1246,230
209.2196502685547,4059,230
1173.20166015625,1212,231
18.084505081176758,1812,231
3598.541259765625,3361,231
10.18613052368164,3441,231
89.54305267333984,1638,234
537.9663696289062,432,236
1088.1771240234375,2129,236
31.482328414916992,2867,236
383.52850341796875,3024,236
51.7048454284668,56,237
25.280559539794922,2549,237
299.8215637207031,2683,237
649.1181030273438,1011,238
28.04808235168457,1086,238
10.421109199523926,292,239
278.1809387207031,1131,239
19.83698272705078,1294,240
15.637557983398438,1729,240
873.296142578125,2670,240
40.10169219970703,3595,240
855.56591796875,561,241
917.29150390625,5,242
271.604736328125,3614,244
28.8126163482666,472,245
354.5372619628906,563,245
141.87094116210938,3779,246
1059.7034912109375,2413,247
492.3951721191406,4020,247
14.637344360351562,1936,248
2115.171142578125,1663,249
12.702920913696289,2307,249
19.718610763549805,3421,250
20.28879737854004,263,251
212.55177307128906,2498,252
36.73893737792969,1565,253
34.94474792480469,1727,253
51.488948822021484,2179,253
43.32743453979492,2633,253
51.998348236083984,3520,253
17.299406051635742,42,254
113.76522827148438,399,256
21.54473114013672,3330,256
512.5047607421875,1117,257
35.40085220336914,17,258
506.6015319824219,649,258
14.55109691619873,1313,258
15.273035049438477,128,259
868.37744140625,1598,259
1884.8841552734375,1606,259
32.911865234375,3226,259
45.60506820678711,4082,259
31.390972137451172,3552,261
274.3231506347656,24,262
126.26953887939453,2035,262
38.18403625488281,888,263
1048.1832275390625,1068,263
656.4902954101562,1248,264
18.445907592773438,3525,264
504.7171936035156,2745,266
12.870697975158691,3566,266
16.600860595703125,364,267
162.6920928955078,1817,267
231.1719970703125,2298,267
15.615803718566895,1287,269
79.75442504882812,271,270
630.8630981445312,257,271
698.8525390625,1100,272
70.86215209960938,2300,272
27.076740264892578,549,273
207.5838165283203,1061,273
11.878037452697754,7,274
375.64068603515625,1644,274
19.578706741333008,4048,274
21.549562454223633,21,275
135.34356689453125,1624,275
104.27900695800781,2554,275
80.02422332763672,2573,275
10.060269355773926,2685,275
25.667402267456055,2376,276
1226.3653564453125,2648,276
13.934453010559082,3975,278
11.282843589782715,4,279
800.8276977539062,1590,279
45.863529205322266,499,280
967.0667724609375,513,280
743.9697265625,3612,280
164.45045471191406,3894,280
812.6373291015625,3318,281
75.45988464355469,3273,282
