1698.172781  100.000000 	  ?    
1694.521215  405000.000000 	 ArI 
1694.335418  168.000000 	 ThI 
1689.468094  102.000000 	 ThII
1688.390826  79.000000  	 ThII
1686.469870  390.000000 	 ArI 
1685.722751  78.000000  	 ThI 
1682.552373  240.000000 	 ThI 
1678.979942  62.000000  	 ThI 
1678.964184  92.000000  	 ThI 
1677.312831  1310.000000 	 ThI 
1675.301876  410.000000 	 ThI 
1675.207180  69.000000  	 ThI 
1674.464806  21700.000000 	 ArI 
1673.458482  88.000000  	 ThI 
1671.700016  115.000000 	 ThI 
1670.920580  161.000000 	 ThI 
1662.915241  45.000000  	 ThI 
1660.388875  126.000000 	 ThI 
1659.664377  112.000000 	 ThI 
1659.408552  42.000000  	 ThI 
1659.235256  163.000000 	 ThI 
1655.491078  2000.000000 	 ArI 
1655.378240  18600.000000 	 ArI 
1654.493693  640.000000 	 ThI 
1654.290834  73.000000  	 ThI 
1653.884018  112.000000 	 ThI 
1652.437833  48000.000000 	 ArI 
1650.830252  240.000000 	 ThI 
1644.106890  37400.000000 	 ThI 
1641.729210  185.000000 	 ThI 
1638.538558  247.000000 	 ThII
1636.809220  43.000000  	 ThI 
1634.520872  102.000000 	 ThI 
1633.426839  47.000000  	 ThI 
1631.515076  127.000000 	 ThI 
1631.303913  42.000000  	 ThI 
1630.858824  158.000000 	 ThI 
1628.472712  147.000000 	 ThI 
1626.851105  1890.000000 	 ArI 
1624.489504  109.000000 	 ThII
1624.256200  124.000000 	 ThI 
1622.515952  252.000000 	 ThI 
1618.444060  9500.000000 	 ArI 
1618.288001  77.000000  	 ThI 
1615.683870  250.000000 	 ArI 
1615.199988  165.000000 	 ThI 
1614.716813  76.000000  	 ThI 
1612.706299  4800.000000 	 ArI 
1611.419054  840.000000 	 ThI 
1607.697837  95.000000  	 ThI 
1607.636996  48.000000  	 ThI 
1604.288533  145.000000 	 ThI 
1603.753502  49.000000  	 ThI 
1601.879120  70.000000  	 ThI 
1601.268820  88.000000  	 ThI 
1601.012580  530.000000 	 ThI 
1600.220446  72.000000  	 ThI 
1599.385887  59000.000000 	 ArI 
1598.275652  100.000000 	 ThI 
1596.437569  120.000000 	 ThI 
1595.880534  241.000000 	 ThI 
1594.041981  109.000000 	 ThI 
1593.676978  144.000000 	 ThII
1592.647371  206.000000 	 ThI 
1590.403090  25600.000000 	 ArI 
1590.388253  214.000000 	 ThI 
1589.619328  151.000000 	 ThI 
1589.590396  199.000000 	 ThI 
1588.750573  3900.000000 	 ArI 
1585.205241  98.000000  	 ThI 
1583.607132  2910.000000 	 ThI 
1582.949807  96.000000  	 ThI 
1582.109563  2510.000000 	 ArI 
1581.981534  185.000000 	 ThII
1579.746687  780.000000 	 ArI 
1578.092192  420.000000 	 ArI 
1577.186987  44.000000  	 ThII
1574.818129  109.000000 	 ThI 
1573.920663  1590.000000 	 ArI 
1571.743991  287.000000 	 ThI 
1570.558881  150.000000 	 ThI 
1568.043868  121.000000 	 ThI 
1564.560428  135.000000 	 ThI 
1564.472017  147.000000 	 ThII
1563.874768  123.000000 	 ThI 
1563.254075  112.000000 	 ThI 
1561.319399  83.000000  	 ThI 
1561.240957  52.000000  	 ThI 
1560.308425  196.000000 	 ThI 
1560.293574  350.000000 	 ThI 
1558.947937  136.000000 	 ThI 
1558.788865  74.000000  	 ThI 
1558.083131  1500.000000 	 ThI 
1558.011976  53.000000  	 ThI 
1557.661393  68.000000  	 ThI 
1557.636865  400.000000 	 ThI 
1557.375214  150.000000 	 ThI 
1556.391504  30.000000  	   ?   
1556.380918  123.000000 	  ?    
1555.971218  920.000000 	 ArI 
