X,Y,BRIGHTNESS
3322,36,766.651123046875
431,37,156.1038818359375
589,37,1644.915771484375
981,37,1025.1199951171875
1120,37,2416.3994140625
1121,37,1395.386962890625
2170,37,4234.48046875
2391,37,1299.135986328125
3803,37,428.5260009765625
3862,37,685.8697509765625
210,38,134.08531188964844
1121,38,2835.38037109375
1921,38,178.5310821533203
2669,38,1763.7335205078125
592,39,141.7557830810547
2172,39,666.3351440429688
3281,39,1260.056396484375
1321,40,2128.236083984375
2899,40,4387.7646484375
171,41,129.0167999267578
743,41,1251.154296875
2175,41,1424.7557373046875
1370,42,2469.112060546875
1870,42,1771.0740966796875
3023,42,618.6931762695312
865,43,1843.5841064453125
902,43,451.3280029296875
1015,43,2203.217529296875
1282,43,200.3365020751953
1872,43,954.9111328125
2121,43,214.22573852539062
2819,43,2084.89306640625
3334,43,207.241943359375
3712,43,156.3180389404297
1169,44,2274.32421875
2179,44,3897.07373046875
2708,44,174.33377075195312
3459,44,242.38729858398438
1949,45,894.1892700195312
1963,45,229.96681213378906
1134,46,842.80078125
2181,46,126.98851013183594
2532,46,933.259033203125
740,47,1424.0826416015625
1526,47,373.83502197265625
1961,47,2151.666015625
2183,47,2194.63427734375
2525,47,836.1568603515625
3375,47,610.0089111328125
1709,48,1572.9625244140625
1953,48,251.09800720214844
3578,48,1679.8516845703125
2216,49,1300.937744140625
2408,49,4485.93359375
3165,49,1502.32421875
236,50,145.4908905029297
525,50,1324.9393310546875
993,50,784.1986694335938
1247,50,2547.358154296875
2187,50,1985.1932373046875
2409,50,4169.15771484375
3110,50,951.5187377929688
3771,50,2407.4453125
1559,51,786.9288940429688
1957,51,590.7703247070312
1961,51,2713.82568359375
3070,51,1083.478515625
3679,51,1414.6998291015625
1140,52,468.3338623046875
1533,52,669.0828247070312
2829,52,467.9269104003906
941,53,939.642333984375
1700,53,1800.928955078125
1952,53,1119.96142578125
2297,53,807.8442993164062
2688,53,1657.625244140625
49,54,5509.5703125
106,54,985.3972778320312
418,54,2117.14453125
636,54,966.2205200195312
1961,54,968.597412109375
2951,54,4156.166015625
3708,54,2602.165771484375
3891,54,150.62689208984375
4067,54,2140.375732421875
600,55,1679.069091796875
833,55,3133.116943359375
1227,55,1508.0963134765625
1736,55,1280.5701904296875
2194,55,2266.83056640625
3263,55,1256.568359375
3295,55,1400.23876953125
3355,55,428.9541320800781
1512,56,1303.4510498046875
2175,56,1714.97119140625
3347,56,3151.140380859375
3888,56,621.8410034179688
2031,57,257.1651916503906
2418,57,1462.70068359375
2586,57,695.2249145507812
3406,57,355.96636962890625
1665,58,1362.75537109375
2197,58,1330.3380126953125
3102,58,1986.9775390625
1709,59,5010.18212890625
2200,59,6765.27880859375
2421,59,1102.1875
3299,59,140.9847869873047
3336,59,760.3450317382812
3909,59,1153.8662109375
99,60,694.1454467773438
2198,60,193.12892150878906
2583,60,1567.3353271484375
2202,61,2345.932861328125
3303,61,1211.6907958984375
3518,61,2219.186767578125
3753,61,1530.197021484375
3905,61,5776.2294921875
1417,62,4416.99755859375
2624,62,2102.49462890625
3045,62,732.0581665039062
1657,63,213.61712646484375
1974,63,612.8089599609375
2776,63,2110.011962890625
2886,63,4885.9423828125
2120,64,165.9473419189453
2559,64,1604.8084716796875
3643,64,249.0947265625
896,65,3216.3583984375
1161,65,1822.496826171875
2348,65,402.168701171875
414,66,1291.434326171875
2254,66,3452.83984375
2275,66,194.29933166503906
1244,67,1238.8607177734375
1981,67,978.5382690429688
2202,67,253.72296142578125
2210,67,5200.72900390625
